City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Sao Filipe,CV,73.42,clear sky,14.8961,-24.4956,Hotel Xaguate
3,Rikitea,PF,78.69,overcast clouds,-23.1203,-134.9692,People ThankYou
12,Busselton,AU,71.04,overcast clouds,-33.65,115.3333,Observatory Guest House
15,Arraial Do Cabo,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
17,Vaini,TO,86.16,few clouds,-21.2,-175.2,Keleti Beach Resort
19,Buta,CD,72.27,overcast clouds,2.7858,24.73,HOTEL BISO NA BISO
23,Yarada,IN,70.12,mist,17.65,83.2667,Yarada Jungle Beach Resorts
30,Hilo,US,74.8,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
31,Port Alfred,ZA,73.63,moderate rain,-33.5906,26.891,The Halyards Hotel
32,Ariquemes,BR,73.31,broken clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
37,Blackwater,AU,78.31,overcast clouds,-23.5833,148.8833,Blackwater Motor Inn
42,Progreso,MX,88.11,clear sky,21.2833,-89.6667,Playa Linda Hotel
51,San Felipe,VE,72.03,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
53,Sur,OM,71.17,clear sky,22.5667,59.5289,Sur Plaza Hotel
58,Hervey Bay,AU,83.03,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
63,Palm Valley,US,70.02,broken clouds,30.1775,-81.3876,Sawgrass Marriott Golf Resort & Spa
65,Kudahuvadhoo,MV,81.34,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
71,East London,ZA,74.19,light rain,-33.0153,27.9116,Tu Casa
72,Mulchen,CL,73.74,clear sky,-37.7167,-72.2333,Hotel Los Maitenes de Villalón
75,Avarua,CK,84.25,broken clouds,-21.2078,-159.775,Paradise Inn
77,Bubaque,GW,77.86,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
78,Butaritari,KI,81.75,light rain,3.0707,172.7902,Isles Sunset Lodge
80,Pangai,TO,81.63,clear sky,-19.8,-174.35,Ha'apai Beach Resort
82,Dolores,AR,70.05,overcast clouds,-36.3132,-57.6792,Apart Hotel - Arianos
83,Mount Isa,AU,82.17,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
84,Mar Del Plata,AR,77.09,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
86,Nadadores,MX,74.25,scattered clouds,27.05,-101.6,Hacienda Las Catalinas
87,Kavaratti,IN,79.39,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
92,Mareeba,AU,84.49,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
93,Buala,SB,79.66,light rain,-8.145,159.5921,Maringe Lagoon Lodge
99,Puerto Ayora,EC,76.55,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
100,Am Timan,TD,72.45,few clouds,11.0297,20.2827,Palais du chef Canton Salamt
106,Beloha,MG,71.26,clear sky,-25.1667,45.05,
107,Lorengau,PG,79.7,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
108,Cabo San Lucas,MX,74.5,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
109,Mana,GF,77.63,broken clouds,5.6592,-53.7767,LE SAMANA
111,Mbandaka,CD,71.55,overcast clouds,0.0487,18.2603,Guest House Epervier
113,Maldonado,UY,79.99,clear sky,-34.6667,-54.9167,La Cimarrona
116,Port Elizabeth,ZA,71.1,overcast clouds,-33.918,25.5701,39 On Nile Guest House
117,Amapa,BR,72.27,overcast clouds,1.0,-52.0,
120,Chuy,UY,71.4,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
122,Touros,BR,83.3,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
126,Bengkulu,ID,75.4,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
127,Katobu,ID,79.48,overcast clouds,-4.9408,122.5276,La Ode Husein
128,Port Hedland,AU,80.65,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
129,Planadas,CO,79.23,overcast clouds,3.197,-75.6451,Coffee Hotel Planadas
131,Atuona,PF,78.24,light rain,-9.8,-139.0333,Villa Enata
137,Sambava,MG,75.15,overcast clouds,-14.2667,50.1667,Melrose
140,Maumere,ID,81.18,broken clouds,-8.6199,122.2111,Sylvia Hotel
143,Ahuimanu,US,80.31,few clouds,21.4447,-157.8378,Paradise Bay Resort
146,San Patricio,US,77.09,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
147,Vila Velha,BR,78.94,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
149,Namatanai,PG,80.44,light rain,-3.6667,152.4333,Seagulls Inn Namatani
153,Kununurra,AU,80.58,overcast clouds,-15.7667,128.7333,Hotel Kununurra
160,Tagusao,PH,78.67,few clouds,9.1924,117.8141,Green Villa beach resort
161,Cacapava Do Sul,BR,76.93,broken clouds,-30.5122,-53.4914,Hotel Portal
163,Belmonte,BR,81.1,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
165,Vila Do Maio,CV,72.39,clear sky,15.1333,-23.2167,Hotel Marilu
166,Sechura,PE,75.94,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
167,Feijo,BR,73.35,broken clouds,-8.1642,-70.3536,Hotel e Restaurante Aҫai
170,San Juan De Colon,VE,70.32,few clouds,8.0313,-72.2605,Hotel San Francisco de Padua C.A
176,Kapaa,US,81.12,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
177,Zihuatanejo,MX,79.21,clear sky,17.6333,-101.55,La Casa Que Canta
179,Meulaboh,ID,75.24,broken clouds,4.1363,96.1285,Kost Pria
184,Pisco,PE,75.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
185,Rio Grande,BR,74.01,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
187,Sao Joao Da Barra,BR,75.0,moderate rain,-21.6403,-41.0511,Pousada Porto De Canoas
189,Popondetta,PG,86.58,moderate rain,-8.7537,148.2534,Timos Transit House
190,Ranot,TH,79.05,broken clouds,7.7777,100.3213,Pakbanglake resort ปากบางเลค รีสอร์ท
192,Maragogi,BR,79.39,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
193,Galle,LK,73.29,scattered clouds,6.0367,80.217,Amangalla
194,Vegueta,PE,71.46,clear sky,-11.0231,-77.6431,Hospedaje Gavión
199,Geraldton,AU,88.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
203,Mitu,CO,77.23,overcast clouds,1.1983,-70.1733,
207,Nsanje,MW,71.82,broken clouds,-16.92,35.262,Nsanje Discovery Lodge
208,West Bay,KY,80.67,few clouds,19.3667,-81.4167,Calypso Cove
210,Morondava,MG,79.27,moderate rain,-20.2833,44.2833,La Case Bambou
212,Grand Gaube,MU,81.0,moderate rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
213,Souillac,MU,80.98,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
215,Carnarvon,AU,78.87,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
218,Saint-Philippe,RE,80.19,heavy intensity rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
223,Omboue,GA,77.22,light rain,-1.5746,9.2618,Hotel Olako
226,Cururupu,BR,75.06,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
228,Mogadishu,SO,77.13,overcast clouds,2.0371,45.3438,Hotel Juba
230,Le Vauclin,MQ,77.05,clear sky,14.5452,-60.8388,Hôtel Cap Macabou
233,Sola,VU,81.18,moderate rain,-13.8833,167.55,Leumerus Bungalows
234,Bulalacao,PH,78.6,broken clouds,12.3254,121.3435,By The Sea Hotels
237,Richards Bay,ZA,76.39,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
239,Bansang,GM,71.94,scattered clouds,13.4333,-14.65,Margie's Lodge
241,Hualmay,PE,71.55,clear sky,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
243,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
245,Alofi,NU,76.89,drizzle,-19.0595,-169.9187,Taloa Heights
249,Palora,EC,77.11,broken clouds,-1.7,-77.9333,Rancho grande
260,Singkang,MY,76.89,broken clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
265,Saint-Georges,GD,78.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
266,Ahipara,NZ,75.81,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
267,Kavieng,PG,79.27,light rain,-2.5744,150.7967,Nusa Island Retreat
269,Finschhafen,PG,82.71,overcast clouds,-6.6024,147.8681,Cossam Guest House
270,Kiunga,PG,82.2,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
271,Mahebourg,MU,80.89,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
274,Cidreira,BR,75.43,clear sky,-30.1811,-50.2056,Hotel Castelo
