City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sao Filipe,CV,14.8961,-24.4956,73.42,77,4,12.75,clear sky
1,Kantilo,IN,20.35,85.1833,67.86,88,4,1.66,clear sky
2,San Cristobal,VE,7.7669,-72.225,68.31,56,19,1.97,few clouds
3,Rikitea,PF,-23.1203,-134.9692,78.69,73,100,8.05,overcast clouds
4,Paamiut,GL,61.994,-49.6678,12.67,60,100,20.22,overcast clouds
5,Eganville,CA,45.5334,-77.0994,32.52,99,100,4.38,snow
6,Rio Gallegos,AR,-51.6226,-69.2181,57.25,58,75,17.27,broken clouds
7,Ushuaia,AR,-54.8,-68.3,44.26,61,75,24.16,broken clouds
8,Lebu,CL,-37.6167,-73.65,60.78,87,54,10.85,broken clouds
9,Sobolevo,RU,54.4299,31.8996,24.08,97,100,6.62,snow
10,Clarence Town,AU,-32.5833,151.7833,69.85,93,100,6.96,overcast clouds
11,Lavrentiya,RU,65.5833,-171.0,2.44,65,0,22.24,clear sky
12,Busselton,AU,-33.65,115.3333,71.04,39,96,16.2,overcast clouds
13,Punta Arenas,CL,-53.15,-70.9167,48.31,71,75,6.91,broken clouds
14,Bethel,US,41.3712,-73.414,40.24,65,100,0.63,overcast clouds
15,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,94,75,5.75,broken clouds
16,Yellowknife,CA,62.456,-114.3525,-22.45,76,20,3.44,few clouds
17,Vaini,TO,-21.2,-175.2,86.16,74,20,6.91,few clouds
18,Antofagasta,CL,-23.65,-70.4,67.28,81,10,8.77,clear sky
19,Buta,CD,2.7858,24.73,72.27,59,89,0.81,overcast clouds
20,Saint George,US,37.1041,-113.5841,43.63,20,1,4.0,clear sky
21,Oleksandrivka,UA,48.9634,32.2349,26.22,94,100,4.7,overcast clouds
22,Lumeje,AO,-11.55,20.7833,66.07,91,74,4.43,light rain
23,Yarada,IN,17.65,83.2667,70.12,100,20,2.3,mist
24,Qaanaaq,GL,77.484,-69.3632,-12.57,84,100,6.8,overcast clouds
25,Sovetskiy,RU,61.3614,63.5842,17.22,96,100,5.46,overcast clouds
26,Jamestown,US,42.097,-79.2353,40.32,67,100,3.0,overcast clouds
27,Ponta Do Sol,PT,32.6667,-17.1,67.01,75,100,8.01,overcast clouds
28,Brae,GB,60.3964,-1.353,44.51,90,100,10.13,overcast clouds
29,Lanzhou,CN,36.0564,103.7922,11.48,70,93,1.72,overcast clouds
30,Hilo,US,19.7297,-155.09,74.8,86,29,5.99,scattered clouds
31,Port Alfred,ZA,-33.5906,26.891,73.63,95,100,9.84,moderate rain
32,Ariquemes,BR,-9.9133,-63.0408,73.31,97,83,0.43,broken clouds
33,Jieshi,CN,22.8134,115.8257,50.95,86,100,11.21,overcast clouds
34,Muros,ES,42.7762,-9.0603,52.3,86,100,7.92,overcast clouds
35,Ust-Nera,RU,64.5667,143.2,-16.69,100,91,2.95,overcast clouds
36,Kutum,SD,14.2,24.6667,63.81,22,29,11.01,scattered clouds
37,Blackwater,AU,-23.5833,148.8833,78.31,83,99,6.98,overcast clouds
38,Barrow,US,71.2906,-156.7887,-20.18,63,75,4.61,broken clouds
39,Bredasdorp,ZA,-34.5322,20.0403,65.52,77,34,3.44,scattered clouds
40,Provideniya,RU,64.3833,-173.3,10.51,72,75,40.26,broken clouds
41,Zavitinsk,RU,50.1167,129.45,-19.05,99,31,5.44,scattered clouds
42,Progreso,MX,21.2833,-89.6667,88.11,57,0,12.12,clear sky
43,Chokurdakh,RU,70.6333,147.9167,-21.03,98,97,7.34,overcast clouds
44,Egvekinot,RU,66.3167,-179.1667,-7.62,78,8,19.62,clear sky
45,Mataura,NZ,-46.1927,168.8643,58.48,87,100,4.63,overcast clouds
46,Albany,US,42.6001,-73.9662,41.74,78,88,4.43,overcast clouds
47,Sorland,NO,67.667,12.6934,27.81,58,94,12.86,overcast clouds
48,Novokruchininskiy,RU,51.7833,113.7667,-29.4,100,18,3.31,few clouds
49,Thompson,CA,55.7435,-97.8558,-9.24,64,20,18.41,few clouds
50,Vila Franca Do Campo,PT,37.7167,-25.4333,58.19,81,18,8.97,few clouds
51,San Felipe,VE,10.3399,-68.7425,72.03,92,85,4.81,overcast clouds
52,Havre-Saint-Pierre,CA,50.2334,-63.5986,28.4,86,100,12.66,overcast clouds
53,Sur,OM,22.5667,59.5289,71.17,55,4,17.67,clear sky
54,Ust-Maya,RU,60.4167,134.5333,-21.06,95,100,2.08,overcast clouds
55,Nevers,FR,46.9167,3.3333,45.19,97,52,2.82,broken clouds
56,Rocha,UY,-34.4833,-54.3333,69.6,85,0,10.8,clear sky
57,Coquimbo,CL,-29.9533,-71.3436,65.93,77,20,10.36,few clouds
58,Hervey Bay,AU,-25.2986,152.8535,83.03,86,100,10.98,overcast clouds
59,Tateyama,JP,34.9833,139.8667,48.47,49,51,4.56,broken clouds
60,Port Macquarie,AU,-31.4333,152.9167,67.89,100,100,10.36,light rain
61,Dikson,RU,73.5069,80.5464,-7.69,98,94,10.87,overcast clouds
62,Lompoc,US,34.6391,-120.4579,64.78,19,0,16.11,clear sky
63,Palm Valley,US,30.1775,-81.3876,70.02,80,52,11.27,broken clouds
64,Bluff,NZ,-46.6,168.3333,58.8,65,100,17.85,overcast clouds
65,Kudahuvadhoo,MV,2.6708,72.8944,81.34,72,0,8.14,clear sky
66,Henties Bay,NA,-22.116,14.2845,67.86,82,54,4.97,broken clouds
67,Gravdal,NO,68.1214,13.5031,25.93,64,100,11.77,overcast clouds
68,Yairipok,IN,24.6667,94.0667,43.52,81,11,0.98,few clouds
69,Castro,BR,-24.7911,-50.0119,65.95,93,48,6.64,scattered clouds
70,Pevek,RU,69.7008,170.3133,-6.95,74,22,4.97,few clouds
71,East London,ZA,-33.0153,27.9116,74.19,95,73,9.66,light rain
72,Mulchen,CL,-37.7167,-72.2333,73.74,46,3,4.72,clear sky
73,State College,US,40.7934,-77.86,38.59,78,40,0.0,scattered clouds
74,Cape Town,ZA,-33.9258,18.4232,65.26,90,75,1.01,broken clouds
75,Avarua,CK,-21.2078,-159.775,84.25,79,75,18.41,broken clouds
76,Batagay-Alyta,RU,67.8006,130.4114,-26.37,98,67,3.18,broken clouds
77,Bubaque,GW,11.2833,-15.8333,77.86,84,12,7.56,few clouds
78,Butaritari,KI,3.0707,172.7902,81.75,78,37,16.67,light rain
79,Tilichiki,RU,60.4667,166.1,3.27,82,98,10.54,overcast clouds
80,Pangai,TO,-19.8,-174.35,81.63,71,9,8.37,clear sky
81,Iqaluit,CA,63.7506,-68.5145,8.33,78,75,8.01,light snow
82,Dolores,AR,-36.3132,-57.6792,70.05,62,87,6.73,overcast clouds
83,Mount Isa,AU,-20.7333,139.5,82.17,74,100,8.05,overcast clouds
84,Mar Del Plata,AR,-38.0023,-57.5575,77.09,61,75,4.61,broken clouds
85,Omaruru,NA,-21.4333,15.9333,66.24,55,2,3.74,clear sky
86,Nadadores,MX,27.05,-101.6,74.25,41,28,14.32,scattered clouds
87,Kavaratti,IN,10.5669,72.642,79.39,73,19,11.27,few clouds
88,Tiksi,RU,71.6872,128.8694,-5.87,97,100,7.49,overcast clouds
89,Constitucion,CL,-35.3333,-72.4167,59.94,85,43,6.33,scattered clouds
90,Coihaique,CL,-45.5752,-72.0662,64.35,55,75,9.22,broken clouds
91,East Wenatchee Bench,US,47.4257,-120.2812,35.47,59,100,1.01,overcast clouds
92,Mareeba,AU,-17.0,145.4333,84.49,88,100,7.85,overcast clouds
93,Buala,SB,-8.145,159.5921,79.66,84,100,7.72,light rain
94,Nikolskoye,RU,59.7035,30.7861,19.29,99,98,1.21,light snow
95,Olafsvik,IS,64.8945,-23.7142,29.52,50,84,1.28,broken clouds
96,Tessalit,ML,20.1986,1.0114,60.73,14,1,10.76,clear sky
97,Terney,RU,45.0503,136.6092,10.94,64,99,10.63,overcast clouds
98,Dandong,CN,40.1292,124.3947,13.32,69,3,2.77,clear sky
99,Puerto Ayora,EC,-0.7393,-90.3518,76.55,90,27,4.0,scattered clouds
100,Am Timan,TD,11.0297,20.2827,72.45,17,18,9.42,few clouds
101,Gimli,CA,50.6336,-96.9907,-9.38,54,81,6.91,broken clouds
102,Kuytun,RU,54.3419,101.5036,-19.48,100,93,1.12,overcast clouds
103,San Luis,AR,-33.295,-66.3356,68.52,58,52,6.17,broken clouds
104,Chicama,PE,-7.8447,-79.1469,68.54,67,16,9.13,few clouds
105,Gat,IL,31.61,34.7642,50.81,53,82,0.98,broken clouds
106,Beloha,MG,-25.1667,45.05,71.26,77,0,13.58,clear sky
107,Lorengau,PG,-2.0226,147.2712,79.7,83,100,11.12,overcast clouds
108,Cabo San Lucas,MX,22.8909,-109.9124,74.5,63,40,17.27,scattered clouds
109,Mana,GF,5.6592,-53.7767,77.63,83,69,11.48,broken clouds
110,College,US,64.8569,-147.8028,-6.14,74,20,0.0,few clouds
111,Mbandaka,CD,0.0487,18.2603,71.55,58,100,1.03,overcast clouds
112,Tuatapere,NZ,-46.1333,167.6833,58.82,78,100,7.49,overcast clouds
113,Maldonado,UY,-34.6667,-54.9167,79.99,79,0,9.62,clear sky
